0,1,2,3,4
Not quite as pretty as his picture ,4.0, 1 Dec. 2015 ," By
    
    JohnH
  
 on 1 Dec. 2015 "," We first purchase the 32cm version from Amazon which was nothing like the photo shown either on Amazon or the Seiff website where the photo seems to be the same one for both sizes of bear. It looked smaller, thinner and not so attractive. We returned it immediately for an instant refund from Amazon which was very swift and efficiently handled.Having done a lot more research online we finally decided to order the 40cm version from Amazon not quite sure what we’d get.What we got was a better balanced and cuddly bear (than the 32cm) which was closer to the one shown in the photo, but looked like he’d grown up a bit. (see my photos) I can only think that the photo shown of Elmar on the Stiff and Amazon website is of an earlier version. The proportions are all wrong, most noticeably the eyes on the latest version are smaller, that said he is adorable and will be cherished by our new grandson. It just would be nice if he'd matched the picture.There are a number of comments about if the versions shown on Amazon are genuine as they come in a plastic bag, well they are, tagged and individually numbered so I have no doubt genuine Stiff. If you want the box (which doesn’t seem very exciting and is worth £3.95) buy your bear direct from Steiff.Overall height of bear sitting is 29cm, something we couldn’t find out anywhere.Also both the 32cm and 40cm versions have a bulge at the top of his neck, which apparently is normal. "
Four Stars ,4.0, 29 Nov. 2014 ," By
    
    EON
  
 on 29 Nov. 2014 ", Very happy and came on time
Adequate Plush ,4.0, 5 Mar. 2014 ," By
    
    Owen Morgan
  
 on 5 Mar. 2014 "," When it arrived it had several miss-stitches on the face, but those where easily removed, otherwise perfectly acceptable, postage was every good arrived with no hassle! Also price was very good!"
Nice stuffed toy and a good introduction to Sesame street ,4.0, 23 July 2009 ," By
    
    Chris Hoare
  
TOP 500 REVIEWERVINE VOICE on 23 July 2009 "," The gund characters have been a staple gift for my 1 year old niece for the past year. Snuffleupagus is the largest of the 12"" range (being long rather than tall) them so far and lives in her cot. The gund toys are soft and cuddleable (except Oscar who is soft but because of the shine on his bin feels more plastic) "
"cute,soft puppy ",4.0, 21 Dec. 2013 ," By
    
    Chocolatemum
  
 on 21 Dec. 2013 "," Arrived quickly, looks just like it does in the picture and is very soft. Giving it as a present, excellent value for money. "
Cute ,4.0, 20 Oct. 2012 ," By
    
    Si
  
 on 20 Oct. 2012 "," I am really happy to have Ed and Ein sat on my shelf in the living room! It is a bit smaller than I expected, as the other reviewer noted. I think £9.99 is about the right price. Will be collecting more of these :)"
Just one thing... ,4.0, 3 Jun. 2015 ," By
    
    Sarah Myers
  
 on 3 Jun. 2015 "," Arrived much sooner than expected, and very cute. Will make a good present. The only thing that lets it down is that there is no presentation box or other packaging, so the teddy seems a little squashed out of shape. I have time to correct that before my friend's birthday, but I shouldn't really need to. "
so cute ,4.0, 9 July 2013 ," By
    
    Nicola
  
 on 9 July 2013 "," this is a lovely teddy for my neice, bought them one each they will love this, it is dear for just a teddy though."
Four Stars ,4.0, 10 Jan. 2016 ," By
    
    Mark Purdie
  
 on 10 Jan. 2016 ", Exactly what I was expecting & delivered on time.
Webkinz Batik Elephant ,4.0, 23 April 2012 ," By
    
    Simon Ellis
  
 on 23 April 2012 "," Fun, colourful Cuddly toy with interesting design which delivers much happiness to tender young things.  My daughter treasures it and takes it everywhere! "
Pleased with purchase ,4.0, 13 Jun. 2014 ," By
    
    Jennifer Campbell
  
 on 13 Jun. 2014 "," My son was really pleased with this Pokemon teddy and it looks just like the character from the cartoon. It won't stand up like in the picture, though, because it is very top heavy. Good for playing and cuddling, though! "
Dinky the Dodo bird ,4.0, 5 Mar. 2008 ," By
    
    AMG
  
VINE VOICE on 5 Mar. 2008 "," This bird is a retired (no longer being made) TY beanie baby called Dinky.American TY Warner invented the first beanie baby in 1986.Each of his beanie babies has their own birthday.This beanies birthday is September 25th 2000.Also, each beanie baby has its own heart shaped tag with a poem inside.This beanies poem reads:Alright I know, I'm a little smallBut what's so great about being tall?Soon I'll grow up and you will seeJust how beautiful I will be!I only gave Dinky a 4 star durability rating because of his paper tag (if constantly read, it won't last.)Dinky is surface washable, and would make the perfect fun gift for a TY or bird lover. "
What a lovely soft toy! ,4.0, 20 Jan. 2011 ," By
    
    Willow Moon
  
 on 20 Jan. 2011 "," THis lovely soft toy has won the heart of everyone in the family. It arrived very promptly.The only thing I was disappointed with was the size as I was expecting something bigger and if you look at the sizes given on the main page they do not correspond in any way to the real thing, plus you don't know the way it is given which is the height, lenght, width or whatever.Product Dimensions given on the main page: 33 x 15.2 x 12.7 cmReal dimensions: Height=23cm; head width= 15cm; length from front paw to tail=23cmAnyway, it's a lovely little tiger. As for the durability, it is difficult to say how long it will last, but the quality of the stitching seems good and all the parts seem well attached to each other, so logically it should last a long time. "
Decent value for money. ,4.0, 24 Nov. 2014 ," By
    
    boldilox
  
 on 24 Nov. 2014 "," Bought this for my 2 year old, as he has a new found love for Mickey Mouse.It is well put together, but not as full or fluffy as a genuine Pillow Pet, but for less than half the price for something that will probably be forgotten about very soon, it is still worth it.One thing worth mentioning is that unlike a Pillow Pet branded item, the rough side of the velcro fastener is not covered when not being used, so if you're not careful it can cause a serious scratch.My little one loves it so I can't really complain.Remember you get what you pay for. "
"cursed, but no longer. ",4.0, 4 Aug. 2014 ," By
    
    M.harrison
  
 on 4 Aug. 2014 "," Excellent looking dice. However I believe they are cursed, as for the first week I could not role about 50 on the d10 and d%.Its fine now after bathing them in the sacrificial virgins blood and eating a horse heart as offering to the god of dice. "
Concentration Please!! ,4.0, 28 Feb. 2005 ," By
    
    N. A. Russell
  
 on 28 Feb. 2005 ", My daughter received this toy/game for Christmas and I can honestly say the adults enjoyed this more than the kids! The unit is much better than the previous version as there are 2 platforms in which the letters sit. The side with more letters are better for the kids as they can spot more words.A simple shake of the unit to jiggle the letters up activates the battery powered timer...saves the bother of someone watching an egg timer!!After 3 minutes the unit constantly flashes to inform players that the time is up.Educationally this is pleasing. It certainly enhances those literature skills especially for children (although not particularly KS1 ages). The unit is fairly compact and not too bulky either therefore it's easily stored away when not in use.Just be careful not to lose any of the cubed letters!!8 out of 10. 
My luck rolling these sucks but great service ,4.0, 14 May 2015 ," By
    
    Alec Courtney
  
 on 14 May 2015 "," My luck rolling these sucks but great service, reasonable delivery time and good value  for money if you buy more than one thing to split the P&P cost per item."
Good colour and finish ,4.0, 23 Jan. 2015 ," By
    
    Clem Neville
  
 on 23 Jan. 2015 "," Nice finish, good value, all 6 sides and the relevant spots in the correct places."
Help your child learn maths with a box load of dice ! ,4.0, 22 Mar. 2011 ," By
    
    Justin O'Brien
  
 on 22 Mar. 2011 "," I was inspired to buy a box of dice after attending a year one maths class with my son. Having seen the kinds of things they do in class that involved touching, colours and repetition I thought having a mixed bag (literally) of dice would be a fun for all of us to use as counters for bingo, counting or even building games. These dice are brightly coloured and feel like they will last for a long time. I will always know where to go when one of the other board games is missing its dice !  These 16mm dice are quite big and chunky, the 12mm a little bit smaller than the norm. "
"Good game,limited play ",4.0, 3 Sept. 2012 ," By
    
    P. Mckenny
  
 on 3 Sept. 2012 "," I bought this game just before christmas in 2011, after all the gencon hooha it sounded like a must buy. I played this game with my son (7) and daughter (10) quite a few times and they got the jist of the game after about the 4th play.  The game is ok, setup is a pain - loads of dice to sort and place. The game plays quite quick once you get going, although there are some major flaws in the game which can ruin it (wizzkids have released new rules with latest expansion to sort the problems) Basically if you get any dragon card and cull your low powered dice as quick as possible, your gonna win..  not maybe you'll win.. you will win.  Its a fun game,although we have not played it now for around 6monhts.  If you want to learn the rules..  (as the written rules dont really explain much) check out this video.[...] "
Great value ,4.0, 22 Oct. 2013 ," By
    
    Dylan
  
 on 22 Oct. 2013 ", Excellent size for most playing cards and the 2 dividers provided and extremely helpful to tell where one deck ends/starts.One concern i did have is it did come across as quite flimsy but upon handling the box it i was quite wrong.Would absoloutely recommend this! A decent size as it's able to carry twice what a normal sized box can carry but isn't quite double the size or price! 
My 9 year old was super excited to receive this game for Christmas (we have ... ,4.0, 10 Mar. 2015 ," By
    
    NB
  
 on 10 Mar. 2015 "," My 9 year old was super excited to receive this game for Christmas (we have Doble and all the family love it), the game itself is a lot of fun, need some quick basic maths, my 6 year old can't act quickly enough.  However, the instructions came in French!  It took us a few days to track down English instructions on the net."
Good dice ,4.0, 28 Oct. 2015 ," By
    
    Alice Blayney
  
 on 28 Oct. 2015 "," Good product, slow shipping but from China I can understans. "
Small but great ,4.0, 14 Jan. 2016 ," By
    
    Phil R
  
 on 14 Jan. 2016 "," Small tin containing every thing you need to play. Plenty of pads and pencils for a the group. Pads are quite small, could do with being a bit bigger but having everything fitting inside this small tin makes it perfect for travel. "
Good quality ,4.0, 19 Aug. 2008 ," By
    
    Careful
  
 on 19 Aug. 2008 ", Needed over 50 dice for a training session so bought two lots. Don't ask!!This is a good quality product and the picture was a fair representation of what was provided. The order was received very promptly. 
Four Stars ,4.0, 30 Mar. 2015 ," By
    
    vic
  
 on 30 Mar. 2015 ", nice box
Lovely ,4.0, 3 Nov. 2015 ," By
    
    Matthew Hall
  
 on 3 Nov. 2015 "," Great quality dice, lovely detail, slightly hard to decipher what the numbers are sometimes. But other than that, great product. "
Great game for a night in with friends. ,4.0, 17 Jan. 2012 ," By
    
    madeira
  
 on 17 Jan. 2012 "," This very inexpensive game is great fun when you have friends over, say after a meal and a few glasses of wine.  It's easy to play and everyone stays in the game 'til the very end. "
Very nice looking ,4.0, 31 Dec. 2011 ," By
    
    Hassan Radwan
  
 on 31 Dec. 2011 "," This is a really great dice set, it even comes with a nice little box to put it in! I actually made a mistake, I thought these were 4th edition dice because I wasn't looking properly, but they're basically the same. These are alot better than expected. "
Enjoyed showing trick to all his friends ,4.0, 19 Mar. 2016 ," By
    
    Catwoman
  
 on 19 Mar. 2016 "," Intrigued my 7 year old! Enjoyed showing trick to all his friends, easy to use."
no D6's ,4.0, 10 Jan. 2012 ," By
    
    Spegbore
  
 on 10 Jan. 2012 "," If you didnt pick it up in the description there are no D6's (standard dice) in this pack, as long as you were aware then these are practical for gaming in every way, they are colour matched so each size die has its colour which will make gaming a little easier. Good quality standard poly dice. "
Dicefun for Ticket to Ride ,4.0, 23 Aug. 2012 ," By
    
    Random Thought
  
 on 23 Aug. 2012 "," Using the dice for Ticket to Ride is making the game faster and frenetic. Every throw of the dice must count, no more hoarding cards :) "
"These dice were a gift, and were very well ... ",4.0, 31 Jan. 2016 ," By
    
    Skye Everard
  
 on 31 Jan. 2016 "," These dice were a gift, and were very well received. However, some of the numbers are a little tricky to read and it took a while to work out the difference between the 9 and the 6. (The nine is the straighter one, which we didn't realise until we saw the 6) "
Good ,4.0, 27 Mar. 2015 ," By
    
    alison hopkins
  
 on 27 Mar. 2015 "," Nice dice if you want something a little different but not too busy and unreadable.However I find that the 2s look like 7s while upside down, a bit annoying but it could be that I just need to get used to a new font. "
Good pack of dice for the price but poor blank inking. ,4.0, 24 Nov. 2014 ," By
    
    joshua star
  
 on 24 Nov. 2014 "," I order 2 10x7 and received 142 dice in total. 19 d20, 20 d12, 19 d10, 20 d%, 20 d8, 20d6 and 24 d4.Over all I'm pretty happy with them for the price and I got at least a full set in each colour, though if I ordered just the 1 set I'm not so sure I would have. I mixed the 2 packets of before thinking so I don't have anyway to compare them against each other sadly.My main complaint is with the dice with blank number ink (white and yellow dice), the numbers generally just look rather shoddy, some of them are okay but a lot of have missing ink, too thick ink or ink just going off of the number. Some of the numbers on the other colour dice don't exactly look amazing either but most are pretty good.Overall you get what you pay for and for the price, I'm happy with them. I would recommend them, but only if your okay with just maybe not using some of the white and yellow dice.(Sorry for the potato quality photo) "
"but the dice are wonderful, good colors and no imperfections I have found ",4.0, 5 Jan. 2016 ," By
    
    G. Messick
  
 on 5 Jan. 2016 "," The color blend was a bit harder lines than I expected, but the dice are wonderful, good colors and no imperfections I have found."
"Decent quality, but faint indicators on the 6 - 9 on the D20 ",4.0, 12 Jun. 2015 ," By
    
    RobL
  
 on 12 Jun. 2015 "," I picked these up to have a 'better quality' set of dice compared to those that came with the D&D 5e starter pack.On the whole they're really nice, however the indicators on the D20 that differentiate 6 and 9 are rather feint.  You can see them, but I wanted ivory / black to give a nice solid contrast that was easily visible to players across the table.On the whole the quality of the 'inking' of the numbering leaves a little to be desired.  It's a shame, as I thought Chessex were meant to be solid quality.Also, the dice are supplied in a plastic bag, not a plastic container as shown. "
great value ,4.0, 16 Jan. 2015 ," By
    
    Sara Allen
  
 on 16 Jan. 2015 "," Good value, great secret santa gift."
Love it. Good value and the kids love it and always ask for it. ,4.0, 25 Feb. 2016 ," By
    
    Jamie
  
 on 25 Feb. 2016 "," We bought this for the kids as they liked to use the clicker dice dome in Ludo. On looking on the internet and in shops I couldn't find anything similar but then this dice dome came up on Amazon.  This dome comes with 5 dice, it doesn't feel expensively made  and it isn't but it does the job really well.  The dome is plastic and we removed the yellow privacy cover straight away (the cover is for gambling games I think).  The dome just lifts off so you can put your own dice in or do what we did and take 4 out.  Once  you put the batteries in (2 x aaa) away you go.The dome doesn't ""punch"" or flick the dice into the air like a Ludo clicker but at the press of the tiny button the green disc that the dice sit on spins and tumbles the dice. Brilliantly simple and effective. It shipped from China and arrived in about 8 days within the estimated timescale.5 stars as it does what I expected and was good value - it coud have been better made but then it would have cost more so I am very happy with it and its price for the kids."
Beautiful dice ,4.0, 11 Mar. 2016 ," By
    
    PF
  
 on 11 Mar. 2016 "," Love the look of these dice and feel nice to use, let's hope the dice god looks upon me kindly tonight as I use them in D&D 5e..."
Good product ,4.0, 15 Oct. 2013 ," By
    
    Matthew Reading
  
 on 15 Oct. 2013 ", It's a good quality dice. It's partly my fault because I didn't check the measurements properly but I thought with the name 'Giant' it was going to be bigger. Overall though I'm really pleased with it! 
... however since it was the only one it was easy to understand which one it should have ,4.0, 13 Jan. 2015 ," By
    
    Federico
  
 on 13 Jan. 2015 ", One of the tile was printed incorrectly however since it was the only one it was easy to understand which one it should have been 
but nothing so bad that it affects the rolls ,4.0, 1 Nov. 2015 ," By
    
    Cherry
  
 on 1 Nov. 2015 "," Gorgeous dice, they roll really well. The only reason this isn't a five star review is because a few of the dice have chips/flaws, unfortunately (I read the other customer reviews and hoped my set wouldn't be afflicted, but alas), but nothing so bad that it affects the rolls."
Four Stars ,4.0, 19 Mar. 2016 ," By
    
    Alan Grinstead
  
 on 19 Mar. 2016 ", fine
Nice Dice ,4.0, 24 Dec. 2010 ," By
    
    ssposeidon
  
 on 24 Dec. 2010 "," They are what they say they are, simply a nice clear set of Dice. I got them to replace my lost set of Dice for Yahtzee, but they are perfect for any board game. "
**Highly Recommended!** ,5.0, 26 May 2015 ," By
    
    Simon.B :-)
  
 on 26 May 2015 "," Simple & GREAT FUN for 5+My nephews face was amazing when he opened this for his birthday!! His mouth dropped open with surprise! (no joke, it literally did!)It's very easy to connect the plastic track/assemble, it takes 2 mins. It's very easy to connect the trains together and apply to track.All you need is two AA batteries and time to watch your child enjoy themselves!We even added homemade tunnels to this to make it more fun, we simply cut holes in cardboard boxes to put around certain parts of the track!This is brilliant for very young kids if they're very interested in trains. This gets them started in the hobby and doesn't cost much at all! "
I love it ,5.0, 22 July 2013 ," By
    
    Lilla Lukacs
  
 on 22 July 2013 ", I love it. Perfect with the earlier ordered locomotive.Again: I would recommend it to the masters of the topic. It's not just a toy.
Birthday present ,5.0, 14 April 2014 ," By
    
    Love my Dog
  
 on 14 April 2014 ", Bought this for my Grandson's birthday.  He is currently collecting some bits for his train set.  Keeps him away from the TV and computers.  So think it was well worth it. 
Five Stars ,5.0, 27 Dec. 2014 ," By
    
    catherine baines
  
 on 27 Dec. 2014 ", the victorian style added to the character that my husband was trying to acheve with his model train layout 
"High standard model, well worth the wait. Replaces ... ",5.0, 3 Oct. 2014 ," By
    
    Steve Guess
  
 on 3 Oct. 2014 "," High standard model, well worth the wait.  Replaces a model of a ""Utility Van"" that has been in production by Triang and Hornby since the 1950s! "
Beautiful set ,5.0, 3 Dec. 2015 ," By
    
    Adam Irwin
  
 on 3 Dec. 2015 "," This has gone down very well this Christmas. Adults and kids collectively enjoy its appearance from around the Christmas tree.Whilst I use this as effectively a Christmas tree decoration it is nevertheless a quality Hornby OO gauge model in its own right, and could be used year round for a modelling enthusiast.A word of warning would be that the model is delicate and intricate. If you have cats for example they are sure to damage the delicate parts as they seek to derail the train from the track. "
Five Stars ,5.0, 23 Dec. 2015 ," By
    
    Mr. K. Waller
  
 on 23 Dec. 2015 "," Xmas box for grandson,am sure it will be great"
steaming good engine! ,5.0, 11 Jan. 2016 ," By
    
    Jeremy Joslin
  
 on 11 Jan. 2016 ", Grandson loved it. Hauls good load
Five Stars ,5.0, 12 Nov. 2014 ," By
    
    alain HENAUX
  
 on 12 Nov. 2014 ", Very good product. Thank you.
Five Stars ,5.0, 2 Oct. 2015 ," By
    
    Mark Ritzmann
  
 on 2 Oct. 2015 ", very good
Gods Wonderful Railway. ,5.0, 29 Oct. 2014 ," By
    
    L.J.Wood.
  
 on 29 Oct. 2014 "," Beautiful model, If your a fan of the G.W.R, this loco is a must have, Just that. "
Kato model engine n gauge ,5.0, 26 Feb. 2015 ," By
    
    spiro clinton
  
 on 26 Feb. 2015 ", Great quality lots of detail run nic and smooth great little engine
Five Stars ,5.0, 31 Aug. 2015 ," By
    
    Allan Jones
  
 on 31 Aug. 2015 "," Fantastic little set, beautifully made, and a decent price."
I NOW HAVE A SECOND OF THESE BACHMANN POWERHAULS COMING ... ,5.0, 18 Dec. 2015 ," By
    
    mrs margaret i bligh
  
 on 18 Dec. 2015 ", I NOW HAVE A SECOND OF THESE BACHMANN POWERHAULS COMING AS THEY CAN TAKE REAL TRAINS BETWEEN 20-30 WAGONSOF A HEAVY WEIGHT.
An excellent HO scale diorama piece ,5.0, 12 Mar. 2014 ," By
    
    Squirr-El
  
TOP 50 REVIEWER on 12 Mar. 2014 "," This is an excellent HO scale diorama piece comprising of a white enclosed coach, with a pair of white horses, and two figures on the (red) driving seat dressed in a grey livery. One is a man in a grey greatcoat and top hat, the other is a female in a grey coat or uniform jacket and grey jockey-style of cap. There do not appear to be figures inside, but if you look through the back window, these are heads visible. This is a striking model, and would be an excellent decoration for almost any diorama.As you would expect from Preiser, these figures are of a high quality of manufacture, detail and colouring. Note that I originally paid £20 for my set, so it pays to shop around in your local model shops – or even a distant one. I live in London, but find it worth travelling as far as Faversham in Kent to the Hobby Shop there for my models."
An excellent HO scale diorama piece ,5.0, 12 Mar. 2014 ," By
    
    Squirr-El
  
TOP 50 REVIEWER on 12 Mar. 2014 "," This is an excellent HO scale diorama piece comprising of a long wooden wagon bearing a very long barrel or wooden cylinder, with two horses hauling it, and a driver seated on a driving bench. This is an interesting and finely-detailed model, and would be an excellent decoration for a farm or country scene.As you would expect from Preiser, these figures are of a high quality of manufacture, detail and colouring. Note that I originally paid £20 for my set, so it pays to shop around in your local model shops – or even a distant one. I live in London, but find it worth travelling as far as Faversham in Kent to the Hobby Shop there for my models."
Five Stars ,5.0, 8 Jun. 2015 ," By
    
    Derek Owens
  
 on 8 Jun. 2015 "," Beautiful little model, which I wholeheartedly reccommend."
A nice change from all that Thomas stuff. ,5.0, 15 Jan. 2016 ," By
    
    Netaheta
  
 on 15 Jan. 2016 ", A nice little train for our layout and a change. Up to the usual Takara Tomy high standard. The little front light is not that bright but looks OK.
Excellent model in perfect condition from reputeable amazon seller ,5.0, 24 Nov. 2015 ," By
    
    Mr Geoffrey Arnold
  
 on 24 Nov. 2015 "," Excellent model in perfect condition from reputeable amazon seller, however it was returned for a refund because it's couplings were not compatable with my other Railjet coaches. I was previously ignorant of the fact that Roco Railjet coaches with internal lighting do not have the same couplings as those without. Roco Railjet coaches 64722 / 64723 / 64724 have internal lighting powered through connections in the couplings."
Fabulous! ,5.0, 9 July 2011 ," By
    
    Amazon Customer
  
 on 9 July 2011 "," Got these for my 2 yr old - he's obsessed with trains and loves these characters. They are pretty tough so have survived some bashing. Only thing is that he can't get them to attach to each other with the ball/ socket joint, it's a bit fiddly so I have to help with that (repeatedly as they do come apart quite easily!) However, this won't be an issue as he gets older. Only got Brewster and Wilson this time to see how he got on, but think I will be getting the track and Koko for xmas as he plays with these for ages and loves talking to them (not sure he realises the trains talk to each other, he just thinks they talk to him... could be setting myself up for years of counselling with that :) "
Five Stars ,5.0, 14 Nov. 2014 ," By
    
    Barbie8
  
 on 14 Nov. 2014 ", We love Tomica!
Molly: Thomas the Tank engine ,5.0, 12 Sept. 2011 ," By
    
    Z. Ross
  
 on 12 Sept. 2011 "," It seems as though we are gradually purchasing all of the die cast trains for our 3 year old to play with on his Take Along & Take N' Play track. Got this one for his birthday; Molly being yellow was great as this is my son's favourite colour. He spends hours making different tracks and then playing with the trains, making up stories. "
Five Stars ,5.0, 28 Sept. 2015 ," By
    
    philip mantle
  
 on 28 Sept. 2015 "," it was as advertised ,and delivered promptly "
Five Stars ,5.0, 26 Nov. 2014 ," By
    
    MKWolf
  
 on 26 Nov. 2014 "," Great product, for the price of the TTS sound I'm very impressed"
great fun ,5.0, 22 May 2014 ," By
    
    anon 337
  
 on 22 May 2014 ", Elizabeth is a very feisty truck who stands no nonsense from a lot of silly trains. A great addition to the collection 
Brilliant. ,5.0, 10 Nov. 2015 ," By
    
    Valerie Bartlett
  
TOP 500 REVIEWER on 10 Nov. 2015 ", I found no issues with these at all they are great for my son who has sensory issues he walked around everywhere with them bought them after the occupational therapists adviced us we have had them a few weeks now and they still work as good as the day we got them I would highly recommend them.
Five Stars ,5.0, 9 Jan. 2016 ," By
    
    Steve
  
 on 9 Jan. 2016 ", An excellent product at an excellent price !! 
Great value and quality ,5.0, 5 May 2015 ," By
    
    Martin
  
 on 5 May 2015 ", A great addition to the Kato Glacier Express set bringing your train up to a respectable length and it comes in a quality presentation case. Delivery from Japan only takes a couple of weeks. Well worth the money. 
Attractive non-corridor carriage. ,5.0, 14 Sept. 2015 ," By
    
    Alan. J. Reynolds
  
TOP 1000 REVIEWER on 14 Sept. 2015 "," Although an ex.LMS Stanier prototype this very simple kit from Dapol makes a good generic non-corridor carriage, fairly representive of those produced by the 'Big Four' railway companies prior to nationalisation. Derived from ex.Mainline/Airfix tooling these very straightforward kits are a very attractively priced alternative to the increasingly highly priced ready to run items produced by Hornby and Bachman."
Hornby R3086 LNER Flying Scotsman ,5.0, 5 May 2014 ," By
    
    David Checketts
  
 on 5 May 2014 ", A heavily built unit of excelent quality and exacting standards. Superior to previous incarnations of standard stock and will haul six carriages with relative ease. 
well packed and on time ,5.0, 15 Feb. 2014 ," By
    
    Mr. I. D. Melia
  
 on 15 Feb. 2014 ", Good buy and good value buy just wot my son wonted a good for model railway across both tracks and easy to assemble no glue needed to put together
Five Stars ,5.0, 28 Nov. 2015 ," By
    
    John SLIGHT
  
 on 28 Nov. 2015 ", This set arrived on the 27th and was in perfect condition thank you
A finely-detailed HO-scale model ,5.0, 14 July 2014 ," By
    
    Squirr-El
  
TOP 50 REVIEWER on 14 July 2014 "," This is a finely-detailed HO-scale model of a Bavarian Sate Railways (Epoch 1) baggage/post wagon in the standard epoch 1 green livery, with a black roof. It is a bogie vehicle with end vestibule doors and two sliding doors each side, with a guard's compartment fitted with a `birdcage' roof at one end. Some internal detail can be seen through the windows and sliding doors (unfortunately, so can one of the screw-fittings for a bogie). The running number is PPu 17660, and there is a destination board for a Munchen to Berlin service.This model is fitted with the standard `loop' style of coupling. It is packaged in the current standard Trix card box with a transparent window with a transparent plasticky internal tray with side cover.This is a beautifully detailed model, as you would expect from Trix, and is of a high quality of manufacture. Note that there are other models available to form a rake of the Munch to Berlin coaches."
An excellent kit. ,5.0, 14 Sept. 2015 ," By
    
    Alan. J. Reynolds
  
TOP 1000 REVIEWER on 14 Sept. 2015 "," An excellent kit of an ex.LMS Stanier non-corridor brake coach that can pass muster as non-corridor stock produced by any of the 'Big Four' railway companies prior to Nationalisation in 1948. Produced from ex.Mainline/Airfix GMR tooling, these are simple to assemble kits that are easy to super-detail."
Five Stars ,5.0, 1 Dec. 2014 ," By
    
    Justyna Bozyk
  
 on 1 Dec. 2014 ", Really good service and great product. On time for Christmas :)
Tanks for the memories ,5.0, 29 July 2014 ," By
    
    WaveyDavey
  
 on 29 July 2014 ", Great addition to the auto city set to give a military air to play.
great model at great price ,5.0, 17 April 2014 ," By
    
    Rayzalaff
  
 on 17 April 2014 ", This model is something all BR modellers will want and comes at a very reasonable price for a DCC fitted loco. will definitely recommend it & the seller 
... over the moon with this item exemplary service and fantastic value for the ,5.0, 5 April 2015 ," By
    
    monken
  
 on 5 April 2015 ", i am over the moon with this item exemplary service and fantastic value for the item
Old time street lamps ,5.0, 26 Jun. 2015 ," By
    
    Mr. Horace L. Campbell
  
 on 26 Jun. 2015 ", Fantastic lamps at a very fair price
A nicely-detailed HO-scale model ,5.0, 30 Jun. 2014 ," By
    
    Squirr-El
  
TOP 50 REVIEWER on 30 Jun. 2014 "," This is a nicely-detailed HO-scale model of a Saxon Sate Railways (Epoch 1) 1st/2nd class express bogie coach - type ABBu - in the standard epoch 1 dark green livery, with a light grey roof. This is a very modern style of wooden-framed steel panelled side-corridor coach, with a steel chassis, and end-vestibule entrances and `concertina' connections for accessing other carriages. Some internal detail can be seen through the windows, such as the partitions and seating, and there are opaque-window lavatory compartments. The running number is 103.This model is fitted with the standard `loop' style of coupling. It is packaged in the current standard Piko card box with a transparent window, and a transparent plastic side-opening tray inside.This is a nicely detailed model of a high standard of manufacture, with a small packet of delicate bits for you to add. There are other models available to form a rake of these coaches.Note that I paid £37 for my model when new, so it is worth shopping around in your local model shops - or even a distant one. I live in London, but find it worth hopping on a train to Faversham in Kent to the Hobby Shop there for my models."
All the fun of the fair ,5.0, 22 July 2013 ," By
    
    Mac
  
 on 22 July 2013 "," 'Top Spin' is a very popular fairground/themepark ride seen under different names. I bought this kit to replace my worn out model built about eight years ago as part of my model fairground which I used to exhibit to raise funds for coronary research and children's CHUF unit at the Freeman Hospital. Much care is required in building these kits to get the best results, they're fun to build and a delight to run. The quality is excellent and instructions concise. "
Five Stars ,5.0, 17 Dec. 2015 ," By
    
    Adam c Jack
  
 on 17 Dec. 2015 ", Thanks very well made L&YR 2-4-2 Tank by Bachmann .
Five Stars ,5.0, 26 July 2014 ," By
    
    Nicola Williams
  
 on 26 July 2014 ", Keeps my husband happy. Well impressed
Just What I wanted ,5.0, 30 Dec. 2013 ," By
    
    David Potter
  
 on 30 Dec. 2013 "," I have recently decided to rebuild my model railway after many years being stored in a box.  I needed a controller and decided that a Gaugemaster was a good choice.  As I will be building the model railway in stages I wanted something to get me started and the single track contoller was ideal.  It didn't take me long to get it conected which is simple. I found it to be very smooth and I could maintain any speed, even very slow speeds without a problem and it would just run at that speed for as long as needed.  I will in due course buy a Gaugemaster multi track controller but this is ideal for what I need at this time.  I have been using this controller for several weeks now and I am still very pleased with it. "
Five Stars ,5.0, 18 July 2015 ," By
    
    John Masters
  
 on 18 July 2015 ", Very good kit goes together very well.
Walthers Proto F7a Best Buy ,5.0, 2 Dec. 2015 ," By
    
    James P. Spaldin
  
 on 2 Dec. 2015 "," Walthers Proto F7a locomotive is everything you would expect from this range.  Beautiful prototypical details, smoothest running qualities and, of course, the sounds!  Awesome loco in fantastic packaging - it ain't cheap, but therein lies the truth.  You can go and buy a Bachmann F7a - and they're great - but this has the hand rails and that extra feel of a quality product.  Some say that Athearn Genesis are the best - but this is a truly wonderful model that gets prominent place in my F7 collection"
Christmas Joy! ,5.0, 13 Jan. 2016 ," By
    
    Amazon Customer
  
 on 13 Jan. 2016 "," Brilliant! The joy on his face was the picture of Christmas! His reaction when the sound of coal shovelling was heard followed by the toot toot as the train started followed by slow but progressively faster motion of the steam train as it moves left my little boy speechless! A Christmas memory the I will never forget and according to him: ""my best present ever!""Jorge "
